"","id","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"254","YML073C",14,0,962,"Q02326","90min",0.730404168457666,0.876605721316035,4,4,-0.682030115050224,0.294541621879337
"255","YML073C",14,0,962,"Q02326","120min",0.703221110235082,0.926588061890371,5,5,-0.906613387857888,0.609554809511603
"256","YML093W",11,0,2768,"Q04500","0min",1,1,1,1,1.51032877012612,1.29611047297087
"257","YML093W",11,0,2768,"Q04500","30min",0.850805513747314,0.216134307826966,2,2,0.184582612199386,-1.47554138222474
"258","YML093W",11,0,2768,"Q04500","60min",0.844750784910477,0.641712948781452,3,3,0.130780131328007,0.0292519025319403
"259","YML093W",11,0,2768,"Q04500","90min",0.724597075426555,0.726986258660155,4,4,-0.936908914761572,0.330767748784598
"260","YML093W",11,0,2768,"Q04500","120min",0.730013030003133,0.582366793234228,5,5,-0.888782598891936,-0.180588742062671
"261","YMR008C",7,2,241,"P39105","0min",1,1,1,3,1.73698286304065,-1.6027823934117
"262","YMR008C",7,2,241,"P39105","30min",0.79736205120501,1.87904549842802,2,4,-0.507224366886675,-0.349077806701525
"263","YMR008C",7,2,241,"P39105","60min",0.771486304888701,2.58470566127498,3,5,-0.793797229019115,0.657342662320791
"264","YMR008C",7,2,241,"P39105","90min",0.822096520193601,2.67585510957222,4,6,-0.233291105803541,0.787341031700653
"265","YMR008C",7,2,241,"P39105","120min",0.824861400947603,2.47941539987797,5,7,-0.202670161331315,0.507176506091785
"266","YMR062C",1,0,3703,"Q04728","0min",1,1,1,1,1.63927234424862,-1.27305394002277
"267","YMR062C",1,0,3703,"Q04728","30min",0.808088444886118,1.60213975517924,2,2,-0.0733494738589011,-0.73810637904208
"268","YMR062C",1,0,3703,"Q04728","60min",0.799407434490655,2.54912125463852,3,3,-0.15081895086703,0.103202368756469
"269","YMR062C",1,0,3703,"Q04728","90min",0.779203266785645,3.45814892523146,4,4,-0.331121269858559,0.910792518825351
"270","YMR062C",1,0,3703,"Q04728","120min",0.694839750768241,3.55537072466628,5,5,-1.08398264966413,0.997165431483026
"271","YMR170C",8,2,3298,"P47771","0min",1,1,1,3,-1.4304654120503,-0.607331578604859
"272","YMR170C",8,2,3298,"P47771","30min",1.34530874994938,25.9920766833995,2,4,-0.488451475463379,1.77467394713839
"273","YMR170C",8,2,3298,"P47771","60min",1.5544939943876,4.65893434587382,3,5,0.0822129389716152,-0.258596980011363
"274","YMR170C",8,2,3298,"P47771","90min",1.89916143822858,2.92817139189125,4,6,1.02247737082744,-0.423556737952431
"275","YMR170C",8,2,3298,"P47771","120min",1.8228241163984,2.28152743173685,5,7,0.814226577714626,-0.485188650569737
